Slug,Name,Category,Type,Tier,Max Files,Max Size (MB),Enabled,Phase,Working Status,Tested Status,Known Issues / Notes
merge-pdf,Merge PDF,PDF,Browser (Client),SYNC,20,50,Yes,2,Working,Tested,Fully client-side (no server request).
split-pdf,Split PDF,PDF,Browser (Client),SYNC,1,50,Yes,2,Working,Tested,Fully client-side (no server request).
remove-pages,Remove Pages,PDF,Browser (Client),SYNC,1,50,Yes,2,Working,Tested,Fully client-side (no server request).
extract-pages,Extract Pages,PDF,Browser (Client),SYNC,1,50,Yes,2,Working,Tested,Fully client-side (no server request).
organize-pdf,Organize PDF,PDF,Browser (Client),SYNC,1,50,Yes,2,Working,Tested,Fully client-side (no server request).
rotate-pdf,Rotate PDF,PDF,Browser (Client),SYNC,1,50,Yes,2,Working,Tested,Fully client-side (no server request).
pdf-to-jpg,PDF to JPG,PDF,Server (Heavy),SYNC,1,50,Yes,2,Working,Tested (with docker),Requires system binaries: Poppler (pdftoppm). Runs inside docker.
pdf-to-png,PDF to PNG,PDF,Server (Heavy),SYNC,1,50,Yes,2,Working,Tested (with docker),Requires system binaries: Poppler (pdftoppm). Runs inside docker.
jpg-to-pdf,JPG to PDF,PDF,Browser (Client),SYNC,20,50,Yes,2,Working,Tested,Fully client-side (no server request).
png-to-pdf,PNG to PDF,PDF,Browser (Client),SYNC,20,50,Yes,2,Working,Tested,Fully client-side (no server request).
compress-pdf,Compress PDF,PDF,Server (Heavy),ASYNC,1,100,Yes,4,Working,Tested (with docker),Requires system binaries: Ghostscript (gs). Runs inside docker.
pdf-to-pdfa,PDF to PDF/A,PDF,Server (Heavy),ASYNC,1,50,Yes,4,Working,Tested (with docker),Requires system binaries: Ghostscript (gs). Runs inside docker.
repair-pdf,Repair PDF,PDF,Server (Heavy),ASYNC,1,50,Yes,4,Working,Tested (with docker),Requires system binaries: Ghostscript (gs). Runs inside docker.
pdf-to-word,PDF to Word,PDF,Server (Heavy),ASYNC,1,25,Yes,5,Working,Tested (with docker),Requires system binaries: LibreOffice (soffice). Runs inside docker.
pdf-to-powerpoint,PDF to PowerPoint,PDF,Server (Heavy),ASYNC,1,25,Yes,5,Working,Tested (with docker),Requires system binaries: LibreOffice (soffice). Runs inside docker.
pdf-to-excel,PDF to Excel,PDF,Server (Heavy),ASYNC,1,25,Yes,5,Working,Tested (with docker),Requires system binaries: LibreOffice (soffice). Runs inside docker.
word-to-pdf,Word to PDF,PDF,Server (Heavy),ASYNC,1,25,Yes,5,Working,Tested (with docker),Requires system binaries: LibreOffice (soffice). Runs inside docker.
powerpoint-to-pdf,PowerPoint to PDF,PDF,Server (Heavy),ASYNC,1,25,Yes,5,Working,Tested (with docker),Requires system binaries: LibreOffice (soffice). Runs inside docker.
excel-to-pdf,Excel to PDF,PDF,Server (Heavy),ASYNC,1,25,Yes,5,Working,Tested (with docker),Requires system binaries: LibreOffice (soffice). Runs inside docker.
html-to-pdf,HTML to PDF,PDF,Server (Heavy),ASYNC,1,5,Yes,5,Working,Tested (with docker),Requires server runtime environment.
pdf-to-text,PDF to Text,PDF,Server (Heavy),SYNC,1,50,Yes,2,Working,Tested (with docker),Requires server runtime environment.
